round,train_loss,eval_loss,eta
252,1.740603,1.737784,0.1
253,1.739939,1.737106,0.1
254,1.738619,1.735657,0.1
255,1.738433,1.735514,0.1
256,1.737305,1.734402,0.1
257,1.735337,1.732655,0.1
258,1.734369,1.731719,0.1
259,1.733431,1.730774,0.1
260,1.730979,1.728341,0.1
261,1.728488,1.725743,0.1
262,1.727331,1.724593,0.1
263,1.726921,1.724200,0.1
264,1.726452,1.723830,0.1
265,1.725605,1.723076,0.1
266,1.723835,1.721318,0.1
267,1.720936,1.718453,0.1
268,1.720275,1.717836,0.1
269,1.719615,1.717072,0.1
270,1.718162,1.715757,0.1
271,1.717471,1.715010,0.1
272,1.716767,1.714278,0.1
273,1.716047,1.713605,0.1
274,1.715106,1.712632,0.1
275,1.714578,1.712105,0.1
276,1.714355,1.711871,0.1
277,1.713810,1.711396,0.1
278,1.713340,1.710874,0.1
279,1.712672,1.710199,0.1
280,1.707864,1.705264,0.1
281,1.707237,1.704607,0.1
282,1.704401,1.701733,0.1
283,1.702348,1.699620,0.1
284,1.701901,1.699198,0.1
285,1.701267,1.698451,0.1
286,1.700796,1.697987,0.1
287,1.700103,1.697282,0.1
288,1.699605,1.696816,0.1
0,1.699605,1.696816,0.001
1,1.699602,1.696814,0.001
2,1.699596,1.696806,0.001
3,1.699592,1.696802,0.001
4,1.699580,1.696791,0.001
5,1.699571,1.696781,0.00105
6,1.699539,1.696749,0.00105
7,1.699536,1.696747,0.0011025
8,1.699526,1.696734,0.0011025
9,1.699520,1.696729,0.00115763
10,1.699511,1.696721,0.00115763
